recipe_id,title,occurrences,distinct_days,minimum_gap_days,median_gap_days
base:recipe:v6c1-riso-e-borlotti-con-indivia,Riso e borlotti con indivia,1,1,,
base:recipe:v6c1-riso-e-cannellini-con-barbabietola,Riso e cannellini con barbabietola,1,1,,
base:recipe:v6c1-riso-e-fave-con-carciofi,Riso e fave con carciofi,1,1,,
base:recipe:v6-riso-integrale-con-fave-e-cavolo-cappuccio,Riso integrale con fave e cavolo cappuccio,1,1,,
base:recipe:v6-riso-integrale-con-lenticchie-e-zucca,Riso integrale con lenticchie e zucca,1,1,,
base:recipe:v6-riso-jasmine-con-cannellini-e-cavolfiore,Riso jasmine con cannellini e cavolfiore,1,1,,
base:recipe:v6-riso-jasmine-con-lupini-e-carote,Riso jasmine con lupini e carote,1,1,,
base:recipe:riso-teriyaki-delicato-con-tacchino-e-spinaci,Riso teriyaki delicato con tacchino e spinaci,1,1,,
base:recipe:v6c2-robiola-con-crackers,Robiola con crackers,1,1,,
base:recipe:v6c2-robiola-con-galletta-di-riso,Robiola con galletta di riso,1,1,,
base:recipe:v6c2-robiola-con-gallette-abbondanti,Robiola con gallette abbondanti,1,1,,
base:recipe:v6c2-robiola-con-pane-abbondante,Robiola con pane abbondante,1,1,,
base:recipe:salmone-con-polenta-e-spinaci,Salmone con polenta e spinaci,1,1,,
base:recipe:salmone-nordico-con-patate-e-broccoli,Salmone nordico con patate e broccoli,1,1,,
base:recipe:salmone-nordico-con-patate-e-zucca,Salmone nordico con patate e zucca,1,1,,
base:recipe:sgombro-con-pane-bianco-e-pomodori,Sgombro con pane bianco e pomodori,1,1,,
base:recipe:sogliola-con-riso-e-sedano-rapa,Sogliola con riso e sedano rapa,1,1,,
base:recipe:tacchino-con-pane-bianco-e-cavolfiore,Tacchino con pane bianco e cavolfiore,1,1,,
base:recipe:tacchino-con-riso-basmati-e-cavolfiore,Tacchino con riso basmati e cavolfiore,1,1,,
base:recipe:trota-con-riso-e-broccoli,Trota con riso e broccoli,1,1,,
base:recipe:trota-con-riso-e-cavolfiore,Trota con riso e cavolfiore,1,1,,
base:recipe:trota-con-riso-e-zucchine,Trota con riso e zucchine,1,1,,
base:recipe:v6c1-yogurt-e-kiwi,Yogurt e kiwi,1,1,,
base:recipe:v6c1-yogurt-avena-kiwi-e-castagne,"Yogurt, avena, kiwi e castagne",1,1,,
base:recipe:v6-yogurt-banana-e-mandorle,"Yogurt, banana e mandorle",1,1,,
base:recipe:v6c1-yogurt-corn-flakes-melagrana-e-semi-di-zucca,"Yogurt, corn flakes, melagrana e semi di zucca",1,1,,
