giorno,mese,turno,pasto,nome_ricetta,kcal,ingredienti_principali,uova_albume,latticini_conteggiati,tipo_latticino,avocado,proteine_g,fibre_g,modificato_vs_c1
39,Ottobre,D4,Colazione,Primosale con galletta di riso,254.7,formaggio primosale | gallette di riso,NO,SI,primosale,NO,15.2,0.4,SI
39,Ottobre,D4,Spuntino,Crackers con tonno al naturale,177.1,tonno al naturale sgocciolato | crackers classici,NO,NO,,NO,17.9,0.8,NO
39,Ottobre,D4,Pranzo,Pasta con sgombro e cavolo cappuccio,475.1,cavolo cappuccio | sgombro | pasta secca,NO,NO,,NO,25.3,5.7,NO
39,Ottobre,D4,Spuntino,Yogurt e castagne,178.8,yogurt bianco naturale | castagne arrostite,NO,NO,,NO,6.5,2.5,NO
39,Ottobre,D4,Cena,Gnocchi con merluzzo e cavolo cappuccio,497.8,gnocchi di patate | cavolo cappuccio | merluzzo,NO,NO,,NO,30.6,7.8,NO
40,Ottobre,D5,Colazione,Avocado e semi di zucca,206.4,avocado fresco | semi di zucca,NO,NO,,SI,4.8,2.8,SI
40,Ottobre,D5,Spuntino,Mais e tonno in coppetta,138.4,mais dolce sgocciolato | tonno al naturale sgocciolato,NO,NO,,NO,18.3,2.2,NO
40,Ottobre,D5,Pranzo,Pasta e fave con cavolo nero,443.6,cavolo nero | fave cotte | pasta secca,NO,NO,,NO,19.7,10.9,NO
40,Ottobre,D5,Spuntino,Melagrana e nocciole,145.8,chicchi di melagrana | nocciole,NO,NO,,NO,3.2,5.0,NO
40,Ottobre,D5,Cena,"Brunch completo con patate, manzo e cavolfiore",691.6,patate | manzo magro | cavolfiore,NO,NO,,NO,46.0,11.8,NO
41,Ottobre,D1,Colazione,Porridge piccolo con frutta cotta,307.7,latte parzialmente scremato | pera | fiocchi d'avena,NO,NO,,NO,12.6,7.3,NO
41,Ottobre,D1,Spuntino,Grana con pane abbondante,205.5,pane bianco comune | Grana Padano o Parmigiano,NO,SI,grana,NO,11.7,1.1,SI
41,Ottobre,D1,Pranzo,Couscous con gamberi e broccoli,445.9,broccoli | gamberi | couscous di semola secco,NO,NO,,NO,36.0,5.8,NO
41,Ottobre,D1,Spuntino,Mini tortilla con cannellini e radicchio,207.7,radicchio | cannellini cotti e sgocciolati | tortilla di frumento,NO,NO,,NO,8.8,5.3,NO
41,Ottobre,D1,Cena,Pollo con riso basmati e finocchi,447.2,finocchi | petto di pollo | riso basmati secco,NO,NO,,NO,36.1,5.5,NO
42,Ottobre,D2,Colazione,Yogurt con avena e pera,311.6,yogurt bianco naturale | pera | fiocchi d'avena,NO,NO,,NO,13.2,7.4,NO
42,Ottobre,D2,Pranzo,Polenta con merluzzo e cavolo nero,467.8,cavolo nero | merluzzo | farina di mais per polenta,NO,NO,,NO,33.2,7.7,NO
42,Ottobre,D2,Pasto preturno,Pollo con patate e funghi,413.9,patate | funghi | petto di pollo,NO,NO,,NO,39.9,6.6,NO
42,Ottobre,D2,Spuntino notturno,Banana e latte,171.8,latte parzialmente scremato | banana,NO,NO,,NO,7.0,2.6,NO
42,Ottobre,D2,Spuntino notturno,Patata dolce e kefir,158.2,patata dolce | kefir naturale,NO,NO,,NO,5.4,3.6,NO
42,Ottobre,D2,Mini-pasto pre-sonno,Mini tortilla con tonno e indivia,203.8,tonno al naturale sgocciolato | indivia | tortilla di frumento,NO,NO,,NO,19.6,3.1,NO
43,Ottobre,D3,Brunch,"Brunch completo con polenta, manzo e broccoli",724.4,manzo magro | broccoli | farina di mais per polenta,NO,NO,,NO,45.2,7.4,NO
43,Ottobre,D3,Spuntino,Primosale con pane bianco,242.5,formaggio primosale | pane bianco comune,NO,SI,primosale,NO,15.2,0.3,SI
43,Ottobre,D3,Cena,Pasta e ceci con broccoli,473.5,broccoli | ceci cotti e sgocciolati | pasta secca,NO,NO,,NO,19.4,11.9,NO
44,Ottobre,D4,Colazione,Avocado con semi di zucca abbondanti,262.4,avocado fresco | semi di zucca,NO,NO,,SI,7.8,3.4,SI
44,Ottobre,D4,Spuntino,Mini tortilla con lupini e indivia,199.7,indivia | lupini scolati | tortilla di frumento,NO,NO,,NO,12.6,4.6,NO
44,Ottobre,D4,Pranzo,Coniglio con patate e pomodori,440.5,patate | pomodori | coniglio disossato,NO,NO,,NO,33.3,7.0,NO
44,Ottobre,D4,Spuntino,Kefir con castagne e melagrana,291.6,kefir naturale | castagne arrostite | chicchi di melagrana,NO,NO,,NO,9.2,6.3,NO
44,Ottobre,D4,Cena,Riso teriyaki delicato con tacchino e melanzane,417.3,melanzane | petto di tacchino | bietole,NO,NO,,NO,35.5,6.7,NO
45,Ottobre,D5,Colazione,"Kefir, avena, uva e semi di zucca",393.3,kefir naturale | uva | fiocchi d'avena,NO,NO,,NO,16.9,5.9,NO
45,Ottobre,D5,Spuntino,Uovo sodo e crackers,148.9,uovo | crackers classici,SI,NO,,NO,7.9,0.5,NO
45,Ottobre,D5,Pranzo,Polpette svedesi leggere con zucca,507.5,patate | zucca | petto di tacchino,SI,NO,,NO,44.4,6.3,NO
45,Ottobre,D5,Spuntino,Pane di segale con tonno e indivia,170.4,tonno al naturale sgocciolato | indivia | pane di segale,NO,NO,,NO,19.4,3.9,NO
45,Ottobre,D5,Cena,Riso basmati con lenticchie e broccoli,437.1,broccoli | lenticchie cotte e sgocciolate | riso basmati secco,NO,NO,,NO,16.6,11.3,NO
46,Ottobre,D1,Colazione,Primosale con gallette abbondanti,351.4,formaggio primosale | gallette di riso,NO,SI,primosale,NO,17.2,1.4,SI
46,Ottobre,D1,Spuntino,Castagne in porzione piccola,140.0,castagne arrostite,NO,NO,,NO,2.1,3.5,NO
46,Ottobre,D1,Pranzo,Nasello con pane bianco e radicchio,424.2,nasello | radicchio | pane integrale,NO,NO,,NO,43.0,6.2,NO
46,Ottobre,D1,Spuntino,Frutta e mandorle,120.4,pera | mandorle,NO,NO,,NO,2.2,5.0,NO
46,Ottobre,D1,Cena,Pasta al ragù leggero di manzo,501.1,passata di pomodoro | manzo magro | carote,NO,NO,,NO,31.1,6.1,NO
47,Ottobre,D2,Colazione,Kefir con melagrana e avena,298.7,kefir naturale | chicchi di melagrana | fiocchi d'avena,NO,NO,,NO,13.1,7.2,NO
47,Ottobre,D2,Pranzo,Pasta e lenticchie con cavolo nero,427.3,cavolo nero | lenticchie cotte e sgocciolate | pasta secca,NO,NO,,NO,19.2,11.6,NO
47,Ottobre,D2,Pasto preturno,Branzino con polenta e zucchine,410.5,zucchine | branzino | farina di mais per polenta,NO,NO,,NO,36.4,3.4,NO
47,Ottobre,D2,Spuntino notturno,Latte e cachi,139.0,latte parzialmente scremato | cachi,NO,NO,,NO,5.5,3.6,NO
47,Ottobre,D2,Spuntino notturno,Crackers con crema semplice di cannellini,183.7,cannellini cotti e sgocciolati | crackers classici,NO,NO,,NO,7.5,4.6,NO
47,Ottobre,D2,Mini-pasto pre-sonno,Avocado con tortilla intera piccola,240.5,avocado fresco | tortilla di frumento,NO,NO,,SI,4.9,3.1,SI
48,Ottobre,D3,Brunch,Brunch: Kofte di tacchino delicati con riso e radicchio,522.6,radicchio | petto di tacchino | mela,NO,NO,,NO,40.6,6.6,NO
48,Ottobre,D3,Spuntino,Grana e fette biscottate,161.0,Grana Padano o Parmigiano | fette biscottate classiche,NO,SI,grana,NO,9.8,0.5,SI
48,Ottobre,D3,Cena,"Brunch con gnocchi, maiale e cavoletti",727.4,gnocchi di patate | filetto di maiale | cavoletti di Bruxelles,NO,NO,,NO,46.5,10.5,NO
49,Ottobre,D4,Colazione,"Latte, corn flakes e melagrana",346.1,latte parzialmente scremato | chicchi di melagrana | fiocchi di mais semplici,NO,NO,,NO,12.1,4.7,NO
49,Ottobre,D4,Spuntino,Yogurt e castagne,178.8,yogurt bianco naturale | castagne arrostite,NO,NO,,NO,6.5,2.5,NO
49,Ottobre,D4,Pranzo,Filetto di maiale con polenta e zucca,438.9,zucca | filetto di maiale | farina di mais per polenta,NO,NO,,NO,34.0,2.5,NO
49,Ottobre,D4,Spuntino,Mini panino con tacchino a fette,140.0,fesa di tacchino a fette | pane bianco comune,NO,NO,,NO,12.0,0.9,NO
49,Ottobre,D4,Cena,Gnocchi con merluzzo e cavolo cappuccio,497.8,gnocchi di patate | cavolo cappuccio | merluzzo,NO,NO,,NO,30.6,7.8,NO
50,Ottobre,D5,Colazione,"Pane integrale, burro di arachidi e banana",323.4,banana | pane integrale | burro di arachidi 100%,NO,NO,,NO,10.4,7.0,NO
50,Ottobre,D5,Spuntino,Robiola semplice,155.0,robiola,NO,SI,robiola,NO,4.5,0.0,SI
50,Ottobre,D5,Pranzo,Pasta e piselli con spinaci,416.7,spinaci | piselli cotti | pasta secca,NO,NO,,NO,18.4,11.6,NO
50,Ottobre,D5,Spuntino,Kefir piccolo,66.0,kefir naturale,NO,NO,,NO,4.2,0.0,NO
50,Ottobre,D5,Cena,"Brunch con orzo, cozze e barbabietola",655.9,"cozze, parte edibile | barbabietola | orzo perlato secco",NO,NO,,NO,42.1,11.0,NO
51,Ottobre,D1,Colazione,"Semolino con castagne, melagrana e semi di zucca",418.8,chicchi di melagrana | semolino di frumento | castagne arrostite,NO,NO,,NO,12.3,7.9,NO
51,Ottobre,D1,Spuntino,Latte e frutta,156.9,latte parzialmente scremato | pera,NO,NO,,NO,6.5,4.0,NO
51,Ottobre,D1,Pranzo,Noodles di riso con pollo e finocchi,422.7,finocchi | petto di pollo | zucchine,NO,NO,,NO,31.9,6.2,NO
51,Ottobre,D1,Spuntino,Avocado al naturale,178.5,avocado fresco,NO,NO,,SI,3.3,2.5,SI
51,Ottobre,D1,Cena,Pollo con riso basmati e finocchi,447.2,finocchi | petto di pollo | riso basmati secco,NO,NO,,NO,36.1,5.5,NO
52,Ottobre,D2,Colazione,Yogurt con avena e mela,305.6,yogurt bianco naturale | mela | fiocchi d'avena,NO,NO,,NO,13.1,6.6,NO
52,Ottobre,D2,Pranzo,Merluzzo con patate e cavolfiore,399.3,patate | merluzzo | cavolfiore,NO,NO,,NO,37.9,7.8,NO
52,Ottobre,D2,Pasto preturno,Riso e borlotti con indivia,420.4,indivia | borlotti cotti e sgocciolati | riso jasmine secco,NO,NO,,NO,14.0,10.1,NO
52,Ottobre,D2,Spuntino notturno,Kefir e corn flakes in porzione piccola,155.2,kefir naturale | fiocchi di mais semplici,NO,NO,,NO,6.0,0.8,NO
52,Ottobre,D2,Spuntino notturno,Mais e tonno in coppetta,138.4,mais dolce sgocciolato | tonno al naturale sgocciolato,NO,NO,,NO,18.3,2.2,NO
52,Ottobre,D2,Mini-pasto pre-sonno,"Tortilla con cannellini, mais e indivia",335.9,indivia | cannellini cotti e sgocciolati | tortilla di frumento,NO,NO,,NO,12.8,9.8,NO
53,Ottobre,D3,Brunch,"Brunch completo con polenta, manzo e broccoli",724.4,manzo magro | broccoli | farina di mais per polenta,NO,NO,,NO,45.2,7.4,NO
53,Ottobre,D3,Spuntino,Robiola con pane abbondante,261.0,robiola | pane bianco comune,NO,SI,robiola,NO,7.9,1.1,SI
53,Ottobre,D3,Cena,Pasta con trota e finocchi,512.3,finocchi | trota | pasta secca,NO,NO,,NO,34.4,6.3,NO
54,Ottobre,D4,Colazione,"Kefir, avena, uva e semi di zucca",393.3,kefir naturale | uva | fiocchi d'avena,NO,NO,,NO,16.9,5.9,NO
54,Ottobre,D4,Spuntino,Patata dolce e semi di zucca,156.5,patata dolce | semi di zucca,NO,NO,,NO,4.5,4.4,NO
54,Ottobre,D4,Pranzo,Pasta e borlotti con verza,433.4,verza | borlotti cotti e sgocciolati | pasta secca,NO,NO,,NO,18.3,11.4,NO
54,Ottobre,D4,Spuntino,Avocado e crackers,200.0,avocado fresco | crackers classici,NO,NO,,SI,3.8,2.6,SI
54,Ottobre,D4,Cena,Manzo magro con pane bianco e cavolfiore,461.7,cavolfiore | manzo magro | pane integrale,NO,NO,,NO,36.5,8.2,NO
55,Ottobre,D5,Colazione,Budino di riso casalingo e frutta,326.4,latte parzialmente scremato | mela | riso basmati secco,NO,NO,,NO,10.9,3.7,NO
55,Ottobre,D5,Spuntino,Grana e pane bianco,152.5,Grana Padano o Parmigiano | pane bianco comune,NO,SI,grana,NO,9.9,0.5,SI
55,Ottobre,D5,Pranzo,Trota con riso e broccoli,489.2,broccoli | trota | riso basmati secco,NO,NO,,NO,36.9,4.7,NO
55,Ottobre,D5,Spuntino,Melagrana e nocciole,145.8,chicchi di melagrana | nocciole,NO,NO,,NO,3.2,5.0,NO
55,Ottobre,D5,Cena,Couscous con maiale e rape,523.8,rape | filetto di maiale | couscous di semola secco,NO,NO,,NO,37.8,4.7,NO
56,Ottobre,D1,Colazione,"Latte, avena, castagne e melagrana",426.1,latte parzialmente scremato | chicchi di melagrana | castagne arrostite,NO,NO,,NO,17.4,9.7,NO
56,Ottobre,D1,Spuntino,Crackers con crema semplice di cannellini,183.7,cannellini cotti e sgocciolati | crackers classici,NO,NO,,NO,7.5,4.6,NO
56,Ottobre,D1,Pranzo,Patata dolce con tacchino e cavoletti,440.0,patata dolce | petto di tacchino | cavoletti di Bruxelles,NO,NO,,NO,40.6,10.0,NO
56,Ottobre,D1,Spuntino,Uovo sodo e crackers,148.9,uovo | crackers classici,SI,NO,,NO,7.9,0.5,NO
56,Ottobre,D1,Cena,Gnocchi con lupini e cavoletti,440.3,gnocchi di patate | cavoletti di Bruxelles | lupini scolati,NO,NO,,NO,18.3,8.9,NO
57,Ottobre,D2,Colazione,"Latte, avena e melagrana",320.4,latte parzialmente scremato | chicchi di melagrana | fiocchi d'avena,NO,NO,,NO,14.9,7.7,NO
57,Ottobre,D2,Pranzo,Gnocchi con merluzzo e cavolo cappuccio,497.8,gnocchi di patate | cavolo cappuccio | merluzzo,NO,NO,,NO,30.6,7.8,NO
57,Ottobre,D2,Pasto preturno,Pasta e cannellini con spinaci,420.5,spinaci | cannellini cotti e sgocciolati | pasta secca,NO,NO,,NO,18.6,9.7,NO
57,Ottobre,D2,Spuntino notturno,Mini panino con tacchino a fette,140.0,fesa di tacchino a fette | pane bianco comune,NO,NO,,NO,12.0,0.9,NO
57,Ottobre,D2,Spuntino notturno,Frutta e nocciole,134.2,cachi | nocciole,NO,NO,,NO,1.9,5.1,NO
57,Ottobre,D2,Mini-pasto pre-sonno,Mozzarella con galletta di riso,194.9,mozzarella vaccina | gallette di riso,NO,SI,mozzarella,NO,12.1,0.4,SI
58,Ottobre,D3,Brunch,"Brunch completo con couscous, pollo e carote",692.6,petto di pollo | carote | couscous di semola secco,NO,NO,,NO,47.9,7.2,NO
58,Ottobre,D3,Spuntino,Avocado con crackers abbondanti,286.0,avocado fresco | crackers classici,NO,NO,,SI,5.5,3.2,SI
58,Ottobre,D3,Cena,Kofte di tacchino delicati con riso e carote,485.2,carote | petto di tacchino | riso basmati secco,NO,NO,,NO,39.7,5.5,NO
59,Ottobre,D4,Colazione,"Semolino con castagne, melagrana e semi di zucca",418.8,chicchi di melagrana | semolino di frumento | castagne arrostite,NO,NO,,NO,12.3,7.9,NO
59,Ottobre,D4,Spuntino,Castagne in porzione piccola,140.0,castagne arrostite,NO,NO,,NO,2.1,3.5,NO
59,Ottobre,D4,Pranzo,Riso e lenticchie con rape,419.1,rape | lenticchie cotte e sgocciolate | riso integrale secco,NO,NO,,NO,12.5,10.6,NO
59,Ottobre,D4,Spuntino,Pane di segale con lupini e radicchio,175.8,lupini scolati | radicchio | pane di segale,NO,NO,,NO,13.2,4.2,NO
59,Ottobre,D4,Cena,Salmone nordico con patate e broccoli,452.4,broccoli | patate | salmone,NO,NO,,NO,32.4,6.8,NO
60,Ottobre,D5,Colazione,Mozzarella con gallette abbondanti,291.7,mozzarella vaccina | gallette di riso,NO,SI,mozzarella,NO,14.1,1.4,SI
60,Ottobre,D5,Spuntino,Frutta in porzione piccola,69.0,uva,NO,NO,,NO,0.7,0.9,NO
60,Ottobre,D5,Pranzo,Pasta con sgombro e cavolo cappuccio,475.1,cavolo cappuccio | sgombro | pasta secca,NO,NO,,NO,25.3,5.7,NO
60,Ottobre,D5,Spuntino,Kefir piccolo,66.0,kefir naturale,NO,NO,,NO,4.2,0.0,NO
60,Ottobre,D5,Cena,"Brunch completo con patate, manzo e cavolfiore",691.6,patate | manzo magro | cavolfiore,NO,NO,,NO,46.0,11.8,NO
61,Novembre,D1,Colazione,"Pane di segale, burro di arachidi e pera",305.3,pera | pane di segale | burro di arachidi 100%,NO,NO,,NO,9.6,7.4,NO
61,Novembre,D1,Spuntino,Avocado con tortilla intera piccola,240.5,avocado fresco | tortilla di frumento,NO,NO,,SI,4.9,3.1,SI
61,Novembre,D1,Pranzo,Pasta e ceci con finocchi,451.5,finocchi | ceci cotti e sgocciolati | pasta secca,NO,NO,,NO,16.2,11.4,NO
61,Novembre,D1,Spuntino,Mini tortilla con tonno e indivia,203.8,tonno al naturale sgocciolato | indivia | tortilla di frumento,NO,NO,,NO,19.6,3.1,NO
61,Novembre,D1,Cena,Noodles di riso con pollo e bietole,412.7,bietole | petto di pollo | cavolfiore,NO,NO,,NO,33.5,5.0,NO
62,Novembre,D2,Colazione,"Yogurt bianco, corn flakes e frutta",231.6,yogurt bianco naturale | mandarini o clementine | fiocchi di mais semplici,NO,NO,,NO,7.7,2.9,NO
62,Novembre,D2,Pranzo,Riso jasmine con trota e cicoria,503.1,cicoria | trota | riso jasmine secco,NO,NO,,NO,31.9,6.2,NO
62,Novembre,D2,Pasto preturno,Gnocchi con maiale e cicoria,526.5,gnocchi di patate | filetto di maiale | cicoria,NO,NO,,NO,34.4,7.6,NO
62,Novembre,D2,Spuntino notturno,Latte e frutta,143.9,latte parzialmente scremato | arancia,NO,NO,,NO,7.1,3.1,NO
62,Novembre,D2,Spuntino notturno,Grana e gallette di riso,157.6,Grana Padano o Parmigiano | gallette di riso,NO,SI,grana,NO,9.4,0.6,SI
62,Novembre,D2,Mini-pasto pre-sonno,Patata dolce e semi di zucca,156.5,patata dolce | semi di zucca,NO,NO,,NO,4.5,4.4,NO
63,Novembre,D3,Brunch,Brunch: Noodles di riso con pollo e finocchi,531.1,finocchi | mandarini o clementine | petto di pollo,SI,NO,,NO,42.3,9.4,NO
63,Novembre,D3,Spuntino,Crackers con borlotti,183.7,borlotti cotti e sgocciolati | crackers classici,NO,NO,,NO,7.7,4.3,NO
63,Novembre,D3,Cena,"Brunch con gnocchi, maiale e cavoletti",727.4,gnocchi di patate | filetto di maiale | cavoletti di Bruxelles,NO,NO,,NO,46.5,10.5,NO
64,Novembre,D4,Colazione,Kefir con fette classiche e confettura,359.9,kefir naturale | mandarini o clementine | fette biscottate classiche,NO,NO,,NO,11.6,3.5,NO
64,Novembre,D4,Spuntino,Crackers con tonno al naturale,177.1,tonno al naturale sgocciolato | crackers classici,NO,NO,,NO,17.9,0.8,NO
64,Novembre,D4,Pranzo,Couscous con gamberi e broccoli,445.9,broccoli | gamberi | couscous di semola secco,NO,NO,,NO,36.0,5.8,NO
64,Novembre,D4,Spuntino,Feta semplice,198.8,feta,NO,SI,feta,NO,10.5,0.0,SI
64,Novembre,D4,Cena,Pasta e borlotti con verza,433.4,verza | borlotti cotti e sgocciolati | pasta secca,NO,NO,,NO,18.3,11.4,NO
65,Novembre,D5,Colazione,French toast delicato con frutta,354.4,mandarini o clementine | latte parzialmente scremato | pane bianco comune,SI,NO,,NO,15.1,4.0,NO
65,Novembre,D5,Spuntino,Avocado e crackers,200.0,avocado fresco | crackers classici,NO,NO,,SI,3.8,2.6,SI
65,Novembre,D5,Pranzo,Couscous con pollo e carote,471.5,carote | petto di pollo | couscous di semola secco,NO,NO,,NO,32.2,6.4,NO
65,Novembre,D5,Spuntino,Yogurt e kiwi,139.8,yogurt bianco naturale | kiwi,NO,NO,,NO,6.1,3.0,NO
65,Novembre,D5,Cena,Kofte di tacchino delicati con riso e radicchio,460.2,radicchio | petto di tacchino | riso integrale secco,NO,NO,,NO,40.2,3.7,NO
66,Novembre,D1,Colazione,"Pane integrale, burro di arachidi e banana",323.4,banana | pane integrale | burro di arachidi 100%,NO,NO,,NO,10.4,7.0,NO
66,Novembre,D1,Spuntino,Pane integrale con hummus e spinaci,222.2,spinaci | hummus semplice senza spezie piccanti | pane integrale,NO,NO,,NO,10.7,8.0,SI
66,Novembre,D1,Pranzo,Salmone con polenta e funghi,420.9,funghi | salmone | farina di mais per polenta,NO,NO,,NO,30.4,3.0,NO
66,Novembre,D1,Spuntino,Pane di segale con sgombro e radicchio,206.9,radicchio | sgombro | pane di segale,NO,NO,,NO,13.3,2.6,NO
66,Novembre,D1,Cena,Riso basmati con piselli e zucca,430.6,zucca | piselli cotti | riso basmati secco,NO,NO,,NO,13.1,8.4,NO
67,Novembre,D2,Colazione,Colazione leggera con latte e fette classiche,269.9,latte parzialmente scremato | pompelmo | fette biscottate classiche,NO,NO,,NO,10.1,2.8,NO
67,Novembre,D2,Pranzo,Salmone con polenta e carciofi,551.1,carciofi | salmone | albume,SI,NO,,NO,39.3,9.7,NO
67,Novembre,D2,Pasto preturno,Nasello con pane bianco e finocchi,386.8,nasello | finocchi | pane bianco comune,NO,NO,,NO,41.1,6.3,NO
67,Novembre,D2,Spuntino notturno,Frutta e nocciole,111.3,arancia | nocciole,NO,NO,,NO,2.4,3.9,NO
67,Novembre,D2,Spuntino notturno,Kefir e melagrana,148.9,kefir naturale | chicchi di melagrana,NO,NO,,NO,6.6,3.2,NO
67,Novembre,D2,Mini-pasto pre-sonno,Feta con galletta di riso,237.4,feta | gallette di riso,NO,SI,feta,NO,11.3,0.4,SI
68,Novembre,D3,Brunch,Pasta e lenticchie con carote,427.5,carote | lenticchie cotte e sgocciolate | pasta secca,NO,NO,,NO,16.0,11.3,NO
68,Novembre,D3,Spuntino,Avocado con crackers abbondanti,286.0,avocado fresco | crackers classici,NO,NO,,SI,5.5,3.2,SI
68,Novembre,D3,Cena,"Brunch completo con polenta, manzo e broccoli",724.4,manzo magro | broccoli | farina di mais per polenta,NO,NO,,NO,45.2,7.4,NO
69,Novembre,D4,Colazione,"Kefir, avena, castagne e mandarino",418.2,kefir naturale | mandarini o clementine | castagne arrostite,NO,NO,,NO,15.5,8.9,NO
69,Novembre,D4,Spuntino,Grana e fette biscottate,161.0,Grana Padano o Parmigiano | fette biscottate classiche,NO,SI,grana,NO,9.8,0.5,SI
69,Novembre,D4,Pranzo,Nasello con pane bianco e radicchio,424.2,nasello | radicchio | pane integrale,NO,NO,,NO,43.0,6.2,NO
69,Novembre,D4,Spuntino,Kiwi e semi di zucca,158.6,kiwi | semi di zucca,NO,NO,,NO,5.2,5.2,NO
69,Novembre,D4,Cena,"Bowl coreana delicata con manzo, riso e broccoli",425.2,broccoli | manzo magro | carciofi,NO,NO,,NO,35.6,10.1,NO
70,Novembre,D5,Colazione,"Yogurt bianco, corn flakes e frutta",274.8,yogurt bianco naturale | banana | fiocchi di mais semplici,NO,NO,,NO,8.1,3.9,NO
70,Novembre,D5,Spuntino,Arancia e semi di zucca,126.4,arancia | semi di zucca,NO,NO,,NO,4.3,4.2,NO
70,Novembre,D5,Pranzo,"Pranzo leggero con pollo, patate e bietole",465.3,bietole | patate | petto di pollo,SI,NO,,NO,44.0,7.4,NO
70,Novembre,D5,Spuntino,Frutta in porzione piccola,61.0,kiwi,NO,NO,,NO,1.1,3.0,NO
70,Novembre,D5,Cena,"Brunch completo con patate, manzo e cavolfiore",691.6,patate | manzo magro | cavolfiore,NO,NO,,NO,46.0,11.8,NO
71,Novembre,D1,Colazione,"Pane di segale, burro di arachidi e pera",305.3,pera | pane di segale | burro di arachidi 100%,NO,NO,,NO,9.6,7.4,NO
71,Novembre,D1,Spuntino,Mandarini e pistacchi,146.9,mandarini o clementine | pistacchi non salati,NO,NO,,NO,3.6,3.9,NO
71,Novembre,D1,Pranzo,Manzo magro con pane bianco e carote,527.7,carote | manzo magro | pane bianco comune,NO,NO,,NO,34.8,7.2,NO
71,Novembre,D1,Spuntino,Fiocchi di latte con crackers abbondanti,227.0,fiocchi di latte | crackers classici,NO,SI,fiocchi_latte,NO,13.8,0.9,SI
71,Novembre,D1,Cena,Pasta e piselli con porro,445.5,piselli cotti | porro | pasta secca,NO,NO,,NO,15.8,10.3,NO
72,Novembre,D2,Colazione,Avocado con fette biscottate abbondanti,281.0,avocado fresco | fette biscottate classiche,NO,NO,,SI,5.8,3.2,SI
72,Novembre,D2,Pranzo,Noodles di riso con pollo e finocchi,430.7,finocchi | petto di pollo | cavolfiore,NO,NO,,NO,32.6,7.2,NO
72,Novembre,D2,Pasto preturno,Trota con riso e cavolfiore,449.2,cavolfiore | trota | riso basmati secco,NO,NO,,NO,35.5,3.8,NO
72,Novembre,D2,Spuntino notturno,Uovo sodo e crackers,148.9,uovo | crackers classici,SI,NO,,NO,7.9,0.5,NO
72,Novembre,D2,Spuntino notturno,Pane bianco e uovo sodo,151.0,uovo | pane bianco comune,SI,NO,,NO,8.8,0.8,NO
72,Novembre,D2,Mini-pasto pre-sonno,Mini tortilla con cannellini e radicchio,207.7,radicchio | cannellini cotti e sgocciolati | tortilla di frumento,NO,NO,,NO,8.8,5.3,NO
73,Novembre,D3,Brunch,Riso basmati con ceci e carote,490.1,carote | ceci cotti e sgocciolati | riso basmati secco,NO,NO,,NO,13.8,11.5,NO
73,Novembre,D3,Spuntino,Mini tortilla con tonno e indivia,203.8,tonno al naturale sgocciolato | indivia | tortilla di frumento,NO,NO,,NO,19.6,3.1,NO
73,Novembre,D3,Cena,"Brunch con couscous, sardine e indivia",705.5,indivia | sardine | couscous di semola secco,NO,NO,,NO,43.4,7.5,NO
74,Novembre,D4,Colazione,"Latte, avena, castagne e melagrana",426.1,latte parzialmente scremato | chicchi di melagrana | castagne arrostite,NO,NO,,NO,17.4,9.7,NO
74,Novembre,D4,Spuntino,Frutta e mandorle,100.9,pompelmo | mandorle,NO,NO,,NO,2.7,3.1,NO
74,Novembre,D4,Pranzo,Pasta con trota e finocchi,512.3,finocchi | trota | pasta secca,NO,NO,,NO,34.4,6.3,NO
74,Novembre,D4,Spuntino,Fiocchi di latte con pane bianco,124.5,fiocchi di latte | pane bianco comune,NO,SI,fiocchi_latte,NO,11.9,0.3,SI
74,Novembre,D4,Cena,Filetto di maiale con patate e spinaci,458.6,patate | spinaci | filetto di maiale,NO,NO,,NO,38.2,8.8,NO
75,Novembre,D5,Colazione,"Latte, corn flakes e frutta",347.2,latte parzialmente scremato | mela | fiocchi di mais semplici,NO,NO,,NO,12.4,4.9,NO
75,Novembre,D5,Spuntino,Avocado al naturale,178.5,avocado fresco,NO,NO,,SI,3.3,2.5,SI
75,Novembre,D5,Pranzo,Pasta e ceci con zucca,464.1,zucca | ceci cotti e sgocciolati | pasta secca,NO,NO,,NO,16.8,8.8,NO
75,Novembre,D5,Spuntino,Frutta e nocciole,134.2,cachi | nocciole,NO,NO,,NO,1.9,5.1,NO
75,Novembre,D5,Cena,Gnocchi con merluzzo e cavolo cappuccio,497.8,gnocchi di patate | cavolo cappuccio | merluzzo,NO,NO,,NO,30.6,7.8,NO
76,Novembre,D1,Colazione,Yogurt con avena e mela,305.6,yogurt bianco naturale | mela | fiocchi d'avena,NO,NO,,NO,13.1,6.6,NO
76,Novembre,D1,Spuntino,Grana e crackers,142.5,Grana Padano o Parmigiano | crackers classici,NO,SI,grana,NO,9.2,0.3,SI
76,Novembre,D1,Pranzo,Sogliola con riso e lattuga,407.4,sogliola | lattuga | riso basmati secco,NO,NO,,NO,38.9,3.1,NO
76,Novembre,D1,Spuntino,Yogurt con frutti di bosco e nocciole,238.7,"yogurt bianco naturale | frutti di bosco, anche surgelati | nocciole",NO,NO,,NO,9.2,6.5,NO
76,Novembre,D1,Cena,Gnocchi con maiale e cicoria,526.5,gnocchi di patate | filetto di maiale | cicoria,NO,NO,,NO,34.4,7.6,NO
