start_global_day,end_global_day,start_month,end_month,egg_equivalent_units,egg_limit,dairy_meals,dairy_limit,pasta_rice_primary_meals,pasta_primary_meals,rice_primary_meals,pasta_rice_min,plant_protein_main_meals,plant_protein_min,hard_ok,hard_failures,protein_concentration_warnings,ingredient_concentration_warnings,pasta_rice_balance_warnings
45,51,Ottobre,Ottobre,21.4,6.0,16,4,6,2,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""grana"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]",[]
46,52,Ottobre,Ottobre,25.4,6.0,18,4,5,2,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]",[]
47,53,Ottobre,Ottobre,24.4,6.0,15,4,5,1,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 6, ""ingredient_code"": ""patata"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
48,54,Ottobre,Ottobre,19.2,6.0,14,4,3,0,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 7, ""ingredient_code"": ""patata"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""zucca"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
49,55,Ottobre,Ottobre,21.2,6.0,15,4,3,0,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 7, ""ingredient_code"": ""patata"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""zucca"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
50,56,Ottobre,Ottobre,21.8,6.0,16,4,3,0,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 7, ""ingredient_code"": ""patata"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""tacchino"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""zucca"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
51,57,Ottobre,Ottobre,23.8,6.0,17,4,4,0,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4286}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""melagrana"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 12}, {""distinct_days"": 7, ""ingredient_code"": ""patata"", ""meal_count"": 8}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""uovo"", ""meal_count"": 10}, {""distinct_days"": 5, ""ingredient_code"": ""zucca"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
52,58,Ottobre,Ottobre,20.8,6.0,17,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 7, ""group"": ""poultry"", ""share"": 0.5}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 3, ""ingredient_code"": ""melagrana"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 11}, {""distinct_days"": 6, ""ingredient_code"": ""patata"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""zucca"", ""meal_count"": 7}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
53,59,Ottobre,Ottobre,17.2,6.0,18,4,6,0,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 7, ""group"": ""poultry"", ""share"": 0.5}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 5, ""ingredient_code"": ""patata"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 6}, {""distinct_days"": 5, ""ingredient_code"": ""zucca"", ""meal_count"": 7}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
54,60,Ottobre,Ottobre,16.6,6.0,18,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 4, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 7}, {""distinct_days"": 3, ""ingredient_code"": ""uovo"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""zucca"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
55,61,Ottobre,Novembre,23.4,6.0,18,4,6,1,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 8}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
56,62,Ottobre,Novembre,19.8,6.0,18,4,5,1,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 3, ""ingredient_code"": ""uovo"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""zucca"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
57,63,Ottobre,Novembre,24.0,6.0,16,4,5,1,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 6, ""ingredient_code"": ""albume"", ""meal_count"": 9}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 4, ""ingredient_code"": ""pollo"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""zucca"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
58,64,Ottobre,Novembre,22.4,6.0,16,4,6,2,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 8}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""pollo"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""zucca"", ""meal_count"": 5}]",[]
59,65,Ottobre,Novembre,20.2,6.0,16,4,4,2,2,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}]",[]
60,66,Ottobre,Novembre,18.2,6.0,13,4,3,2,1,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 3, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""mandarino"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""rice""}]"
61,67,Novembre,Novembre,18.6,6.0,13,4,3,2,1,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4286}]","[{""distinct_days"": 4, ""ingredient_code"": ""mandarino"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""pollo"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""spinaci"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""rice""}]"
62,68,Novembre,Novembre,15.0,6.0,10,4,2,1,1,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 7, ""group"": ""poultry"", ""share"": 0.5}]","[{""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""pollo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}, {""minimum"": 2, ""observed"": 1, ""source"": ""rice""}]"
63,69,Novembre,Novembre,18.6,6.0,10,4,2,1,1,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4286}]","[{""distinct_days"": 3, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 4, ""ingredient_code"": ""patata"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""spinaci"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}, {""minimum"": 2, ""observed"": 1, ""source"": ""rice""}]"
64,70,Novembre,Novembre,11.8,6.0,9,4,3,1,2,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 3, ""ingredient_code"": ""patata"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
65,71,Novembre,Novembre,10.8,6.0,9,4,2,0,2,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""fish"", ""share"": 0.4615}]","[{""distinct_days"": 5, ""ingredient_code"": ""funghi"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 6}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 3, ""ingredient_code"": ""patata"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
66,72,Novembre,Novembre,11.8,6.0,8,4,3,0,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 7, ""group"": ""fish"", ""share"": 0.5385}]","[{""distinct_days"": 4, ""ingredient_code"": ""cavolfiore"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""funghi"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 3, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
67,73,Novembre,Novembre,13.4,6.0,7,4,3,0,3,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""fish"", ""share"": 0.4615}]","[{""distinct_days"": 4, ""ingredient_code"": ""cavolfiore"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 3, ""ingredient_code"": ""patata"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
68,74,Novembre,Novembre,11.4,6.0,8,4,4,0,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""cavolfiore"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
69,75,Novembre,Novembre,8.2,6.0,12,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""cavolfiore"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
70,76,Novembre,Novembre,4.6,6.0,13,4,6,1,5,5,1,3,no,"[""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""cavolfiore"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
71,77,Novembre,Novembre,5.6,6.0,18,4,7,2,5,5,1,3,no,"[""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 7, ""group"": ""poultry"", ""share"": 0.5}]","[{""distinct_days"": 6, ""ingredient_code"": ""cavolfiore"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""gallette_riso"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""grana"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""tacchino"", ""meal_count"": 5}]",[]
72,78,Novembre,Novembre,8.8,6.0,17,4,7,2,5,5,1,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 5, ""ingredient_code"": ""cavolfiore"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 5}]",[]
73,79,Novembre,Novembre,6.8,6.0,19,4,8,2,6,5,1,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 4, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 5}]",[]
74,80,Novembre,Novembre,6.8,6.0,19,4,8,2,6,5,1,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.5}]","[{""distinct_days"": 4, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 6}]",[]
75,81,Novembre,Novembre,10.4,6.0,21,4,8,2,6,5,1,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.5}]","[{""distinct_days"": 4, ""ingredient_code"": ""gallette_riso"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""grana"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""mandarino"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 7}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}]",[]
76,82,Novembre,Novembre,14.0,6.0,21,4,7,2,5,5,1,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 5, ""group"": ""poultry"", ""share"": 0.4167}]","[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}]",[]
77,83,Novembre,Novembre,17.2,6.0,20,4,7,1,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 5, ""group"": ""poultry"", ""share"": 0.4167}]","[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
78,84,Novembre,Novembre,17.2,6.0,17,4,6,0,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 4, ""ingredient_code"": ""pera"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
79,85,Novembre,Novembre,16.6,6.0,18,4,6,0,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 4, ""ingredient_code"": ""pera"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""ricotta"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
80,86,Novembre,Novembre,18.6,6.0,18,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
81,87,Novembre,Novembre,21.6,6.0,20,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""crackers"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""finocchio"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 11}, {""distinct_days"": 4, ""ingredient_code"": ""primosale"", ""meal_count"": 7}, {""distinct_days"": 6, ""ingredient_code"": ""uovo"", ""meal_count"": 7}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
82,88,Novembre,Novembre,25.2,6.0,17,4,4,0,4,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""pasta_rice"", ""plant_protein_main""]",[],"[{""distinct_days"": 5, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 4, ""ingredient_code"": ""crackers"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""finocchio"", ""meal_count"": 5}, {""distinct_days"": 7, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 12}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""uovo"", ""meal_count"": 7}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
83,89,Novembre,Novembre,21.6,6.0,16,4,6,0,6,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4286}]","[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 4, ""ingredient_code"": ""finocchio"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 3, ""ingredient_code"": ""pera"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
84,90,Novembre,Novembre,18.4,6.0,14,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 6, ""ingredient_code"": ""latte_ps"", ""meal_count"": 7}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 3, ""ingredient_code"": ""pera"", ""meal_count"": 5}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
85,91,Novembre,Dicembre,24.2,6.0,13,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 6}, {""distinct_days"": 6, ""ingredient_code"": ""latte_ps"", ""meal_count"": 8}, {""distinct_days"": 6, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 10}, {""distinct_days"": 3, ""ingredient_code"": ""primosale"", ""meal_count"": 5}, {""distinct_days"": 5, ""ingredient_code"": ""uovo"", ""meal_count"": 6}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
86,92,Novembre,Dicembre,20.6,6.0,13,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 3, ""ingredient_code"": ""albume"", ""meal_count"": 5}, {""distinct_days"": 6, ""ingredient_code"": ""latte_ps"", ""meal_count"": 9}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 8}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
87,93,Novembre,Dicembre,25.4,6.0,10,4,5,0,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]",[],"[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""latte_ps"", ""meal_count"": 8}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 0, ""source"": ""pasta""}]"
88,94,Novembre,Dicembre,25.8,6.0,9,4,6,1,5,5,0,3,no,"[""egg_equivalent"", ""cheese_dairy_window"", ""plant_protein_main""]","[{""count"": 6, ""group"": ""poultry"", ""share"": 0.4615}]","[{""distinct_days"": 4, ""ingredient_code"": ""albume"", ""meal_count"": 7}, {""distinct_days"": 4, ""ingredient_code"": ""latte_ps"", ""meal_count"": 7}, {""distinct_days"": 5, ""ingredient_code"": ""pane_bianco"", ""meal_count"": 9}, {""distinct_days"": 4, ""ingredient_code"": ""uovo"", ""meal_count"": 5}]","[{""minimum"": 2, ""observed"": 1, ""source"": ""pasta""}]"
